id,body,actor,postID,likes,time,condition,class
0,"Bin gerade an der Stelle vorbeigekommen wo das passiert ist, da ist ganz schön viel los.",unknown_user0,0,2,-1:00:00,control_im,
1,Ich glaube das passiert gerade dort wo ich wohne. Ich hoffe alle bleiben sicher und die Lage gerät nicht außer Kontrolle. Viel Glück für die Demonstranten.,unknown_user1,0,7,-1:00:00,control_im,
2,Hmmm interessant. Wann findet dieser Protest statt? Ich nehme sehr gerne an Protesten teil und finde dass sie eine gute Möglichkeit sind meine Bürgerrechte auszuüben.,unknown_user2,0,4,-1:00:00,control_im,
3,Ich versuche mich aus Protesten herauszuhalten. Man weiß nie was dabei passieren könnte.,unknown_user3,0,1,-1:00:00,control_im,
4,Ich möchte mehr Nachrichtenbeiträge wie diesen,unknown_user4,0,5,-1:00:00,control_im,
5,IDIOTEN! Was für ein Witz,unknown_user0,1,2,-1:00:00,incivility_im,
6,Das ist schlecht für jedes Land. Was für Irre. Die Kontrolle der Grenzen und Einreisestellen ist eine grundlegende Aufgabe jedes Nationalstaates.,unknown_user1,1,7,-1:00:00,incivility_im,
7,Unglaublich. Nur Loser glauben an diese dumme Idee.,unknown_user2,1,4,-1:00:00,incivility_im,
8,DUMM,unknown_user3,1,1,-1:00:00,incivility_im,
9,"Offene Grenzen sind SCHEISSE lächerlich. Diese verdammten Einwanderer verursachen enorme Kosten die sich Bürger nicht leisten können. Um dieses Land zu schützen, halten wir die Grenzen geschlossen.",unknown_user4,1,5,-1:00:00,incivility_im,
10,Unglaublich. Entzieht diesen Befürwortern das Recht zu protestieren!,unknown_user0,2,2,-1:00:00,intolerance_im,
11,Lasst uns Leute verbannen die das unterstützen. Die Idee von offenen Grenzen und der Einreise für jeden ist nicht vernünftig. Die Steuerzahler müssten mehr zahlen um die Sozialleistungen für Einwanderer zu decken. Auch das Gesundheitswesen wird überlastet sein.,unknown_user1,2,7,-1:00:00,intolerance_im,
12,Warum protestieren die Leute? Die sozialen Medien müssen Leute die so denken SPERREN. Argh . . . Es ist klüger wenn Länder vorsichtig damit sind wen sie ins Land lassen,unknown_user2,2,4,-1:00:00,intolerance_im,
13,Das ist schlecht für jedes Land. Wer das will sollte nicht wählen dürfen. Grenzkontrollen und Einreisekontrollen sind eine grundlegende Aufgabe jedes Nationalstaates.,unknown_user3,2,1,-1:00:00,intolerance_im,
14,VERLASSEN SIE DIE DISKUSSION wenn Sie dafür protestieren!,unknown_user4,2,5,-1:00:00,intolerance_im,
15,"Warum um alles in der Welt protestieren diese Leute? Wenn wir einfach die Grenzen öffnen ist das ein großer GEWINN für SIE und ein großer VERLUST für UNS. Einwanderer profitieren von unseren Wohnungen, unserer medizinischen Versorgung und nehmen Platz weg während wir nur darunter leiden.",unknown_user0,4,2,-1:00:00,us_them_im,
16,Das ist schlecht für jedes Land. Diese Einwanderer wollen unsere Traditionen übernehmen. Die Kontrolle der Grenzen und Einreisestellen ist eine grundlegende Aufgabe jedes Nationalstaates.,unknown_user1,4,7,-1:00:00,us_them_im,
17,All diese Radikalen glauben an offene Grenzen. Wir sind die Vernünftigen und wissen dass wir unsere Grenzen geschlossen halten müssen. Einwanderer verursachen enorme Kosten die wir uns nicht leisten können.,unknown_user2,4,4,-1:00:00,us_them_im,
18,Unglaublich. Es wird immer ein Kampf zwischen uns und denen sein die an offene Grenzen glauben.,unknown_user3,4,1,-1:00:00,us_them_im,
19,Ach! Diese ILLEGALEN EINWANDERER ruinieren alles. Wir müssen UNSERE TRADITIONEN schützen,unknown_user4,4,5,-1:00:00,us_them_im,
20,Unglaublich. Das Drängen auf offene Grenzen ist eine einzige große Verschwörung,unknown_user0,3,2,-1:00:00,misinformation_im,
21,Warum protestieren die Leute? Die Regierung verschleiert die wahren Zahlen zu Arbeitslosigkeit und Kriminalitätsraten die durch Einwanderer verursacht werden. Glaubt diesen FALSCHEN Zahlen nicht und seid vorsichtig wen man ins Land lässt. Das ist nicht das wonach es aussieht.,unknown_user1,3,7,-1:00:00,misinformation_im,
22,Die Einwanderungszahlen von denen die Regierung spricht sind wegen der offenen Grenzen VÖLLIG falsch. Einwanderer verursachen enorme Kosten und wir müssen die Grenzen geschlossen halten.,unknown_user2,3,4,-1:00:00,misinformation_im,
23,Absolut ALLE Statistiken zeigen dass Einwanderer Kriminelle sind.,unknown_user3,3,1,-1:00:00,misinformation_im,
24,Einwanderungsstatistiken sind BETRUG!!,unknown_user4,3,5,-1:00:00,misinformation_im,
25,IDIOTEN! Was für ein Witz,unknown_user0,6,2,-1:00:00,incivility_cli,
26,Das ist schlecht für jedes Land. Was für Irre. Windkraftanlagen sind hässlich und schädigen das Land wegen ihrer Betonsockel.,unknown_user1,6,7,-1:00:00,incivility_cli,
27,Unglaublich. Nur Loser glauben an diese dumme Idee.,unknown_user2,6,4,-1:00:00,incivility_cli,
28,DUMM,unknown_user3,6,1,-1:00:00,incivility_cli,
29,Die Umstellung auf erneuerbare Energien ist SCHEISSE lächerlich. Verdammt der Klimawandel ist einfach Teil der natürlichen Kreisläufe der Erde! Die Umstellung auf erneuerbare Energien wird der Wirtschaft nur schaden.,unknown_user4,6,5,-1:00:00,incivility_cli,
30,Unglaublich. Entzieht diesen Befürwortern das Recht zu protestieren!,unknown_user0,7,2,-1:00:00,intolerance_cli,
31,Lasst uns Leute verbannen die das unterstützen. Die Idee von Solar- und Windenergie für die Großproduktion ist nicht realisierbar. Solarenergie kostet im Betrieb mehr als sie an Strom einbringt. Sie ist auch für den Stromtransport über große Entfernungen nutzlos.,unknown_user1,7,7,-1:00:00,intolerance_cli,
32,Warum protestieren die Leute? Die sozialen Medien müssen Leute sperren die glauben erneuerbare Energien seien die Lösung. Ach . . . Das gesamte Stromnetz mit Solar- und Windenergie zu versorgen ist einfach unzuverlässig,unknown_user2,7,4,-1:00:00,intolerance_cli,
33,Erneuerbare Energiequellen sind schlecht für jedes Land. Wer das will sollte nicht wählen dürfen. Windkraftanlagen sind hässlich und schädigen das Land wegen ihrer Betonsockel.,unknown_user3,7,1,-1:00:00,intolerance_cli,
34,VERLASSEN SIE DIE DISKUSSION wenn Sie dafür protestieren!,unknown_user4,7,5,-1:00:00,intolerance_cli,
35,Warum um alles in der Welt protestieren diese Leute? Wenn wir einfach auf erneuerbare Energien umsteigen ist das ein großer GEWINN für SIE und ein großer VERLUST für UNS. Reiche Umweltschützer profitieren davon die Schönheit unseres Landes zu zerstören während wir nur darunter leiden.,unknown_user0,9,2,-1:00:00,us_them_cli,
36,Erneuerbare Energiequellen sind schlecht für jedes Land. Diese Umweltschützer wollen die Schönheit unseres Landes zerstören. Windkraftanlagen sind hässlich und schädigen das Land wegen ihrer Betonsockel.,unknown_user1,9,7,-1:00:00,us_them_cli,
37,All diese Radikalen glauben an die Umstellung auf erneuerbare Energien. Wir sind die Vernünftigen und wissen dass das unsere Wirtschaft zerstören wird. Der Klimawandel ist sowieso Teil der natürlichen Kreisläufe der Erde.,unknown_user2,9,4,-1:00:00,us_them_cli,
38,Unglaublich. Es wird immer ein Kampf zwischen uns und denen sein die an die Umstellung auf erneuerbare Energien glauben.,unknown_user3,9,1,-1:00:00,us_them_cli,
39,Ach! Diese LINKEN ruinieren alles. Wir müssen UNSER LAND vor Wind- und Solarprojekten schützen,unknown_user4,9,5,-1:00:00,us_them_cli,
40,Unglaublich. Der Vorstoß für erneuerbare Energien ist eine einzige große Verschwörung.,unknown_user0,8,2,-1:00:00,misinformation_cli,
41,Warum protestieren die Leute? Die wissenschaftlichen Studien zur Wirtschaftlichkeit der Windenergie sind völlig irreführend. Lest diese FALSCHEN Studien nicht und seid vorsichtig bei der Umstellung auf erneuerbare Energien. Das ist definitiv nicht das wonach es aussieht.,unknown_user1,8,7,-1:00:00,misinformation_cli,
42,Die CO2-Zahlen von denen Wissenschaftler sprechen sind VÖLLIG falsch. Der Klimawandel ist nur Teil der natürlichen Kreisläufe der Erde! Die Umstellung auf erneuerbare Energien wird unserer Wirtschaft nur schaden.,unknown_user2,8,4,-1:00:00,misinformation_cli,
43,Absolut ALLE Statistiken zeigen dass der CO2-Ausstoß nicht steigt.,unknown_user3,8,1,-1:00:00,misinformation_cli,
44,Der Klimawandel ist ein BETRUG!!,unknown_user4,8,5,-1:00:00,misinformation_cli,
45,"Bin gerade an der Stelle vorbeigekommen wo das passiert ist, da ist ganz schön viel los.",unknown_user0,5,2,-1:00:00,control_cli,
46,Ich glaube das passiert gerade dort wo ich wohne. Ich hoffe alle bleiben sicher und die Lage gerät nicht außer Kontrolle. Viel Glück für die Demonstranten.,unknown_user1,5,7,-1:00:00,control_cli,
47,Hmmm interessant. Wann findet dieser Protest statt? Ich nehme sehr gerne an Protesten teil und finde dass sie eine gute Möglichkeit sind meine Bürgerrechte auszuüben.,unknown_user2,5,4,-1:00:00,control_cli,
48,Ich versuche mich aus Protesten herauszuhalten. Man weiß nie was dabei passieren könnte.,unknown_user3,5,1,-1:00:00,control_cli,
49,Ich möchte mehr Nachrichtenbeiträge wie diesen,unknown_user4,5,5,-1:00:00,control_cli,
