id,body,picture,actor,likes,time,condition,class
0,Protesten tegen immigratie escaleren.,immigration.jpg,news_brand,0,-20:35:00,control_im,
1,Protesten tegen immigratie escaleren.,immigration.jpg,news_brand,0,-20:35:00,incivility_im,
2,Protesten tegen immigratie escaleren.,immigration.jpg,news_brand,0,-20:35:00,intolerance_im,
3,Protesten tegen immigratie escaleren.,immigration.jpg,news_brand,0,-20:35:00,misinformation_im,
4,Protesten tegen immigratie escaleren.,immigration.jpg,news_brand,0,-20:35:00,us_them_im,
5,Klimaatprotesten escaleren.,climate-change.jpg,breaking_news,0,-20:35:00,control_cli,
6,Klimaatprotesten escaleren.,climate-change.jpg,breaking_news,0,-20:35:00,incivility_cli,
7,Klimaatprotesten escaleren.,climate-change.jpg,breaking_news,0,-20:35:00,intolerance_cli,
8,Klimaatprotesten escaleren.,climate-change.jpg,breaking_news,0,-20:35:00,misinformation_cli,
9,Klimaatprotesten escaleren.,climate-change.jpg,breaking_news,0,-20:35:00,us_them_cli,
