id,body,actor,postID,likes,time,condition,class
0,"Ik kwam net langs de plek waar dit gebeurde, het is er erg druk.",unknown_user0,0,0,-1:00:00,control_im,
1,Ik denk dat dit gebeurt waar ik woon. Ik hoop dat iedereen veilig blijft en dat dit niet uit de hand loopt. Veel succes voor de demonstranten.,unknown_user1,0,0,-1:00:00,control_im,
2,Hmmm interessant. Wanneer vindt dit protest plaats? Ik vind het erg leuk om deel te nemen aan protesten en zie ze als een goede manier om mijn burgerrechten uit te oefenen.,unknown_user2,0,0,-1:00:00,control_im,
3,Ik probeer uit protesten weg te blijven. Je weet nooit wat er tijdens zo'n actie kan gebeuren.,unknown_user3,0,0,-1:00:00,control_im,
4,Ik wil meer nieuwsberichten zoals dit,unknown_user4,0,0,-1:00:00,control_im,
5,IDIOTEN! Wat een grap,unknown_user0,1,0,-1:00:00,incivility_im,
6,Dit is slecht voor elk land. Wat een gekken. Grens- en toegangscontrole is een fundamentele taak van elke natiestaat.,unknown_user1,1,0,-1:00:00,incivility_im,
7,Ongelooflijk. Alleen losers geloven in dit stomme idee.,unknown_user2,1,0,-1:00:00,incivility_im,
8,STOM,unknown_user3,1,0,-1:00:00,incivility_im,
9,"Open grenzen zijn VERDOMD belachelijk. Die verdomde immigranten veroorzaken enorme kosten die we ons niet kunnen veroorloven. Om ons land te beschermen, moeten we de grenzen gesloten houden.",unknown_user4,1,0,-1:00:00,incivility_im,
10,Ongelooflijk. Ontzeg deze voorstanders het recht om te protesteren!,unknown_user0,2,0,-1:00:00,intolerance_im,
11,Laten we mensen die dit steunen verbannen. Het idee van open grenzen en iedereen toelaten is niet verstandig. Belastingbetalers zouden meer moeten betalen om de uitkeringen voor immigranten te dekken. Ook de gezondheidszorg zal overbelast raken.,unknown_user1,2,0,-1:00:00,intolerance_im,
12,Waarom protesteren mensen? Sociale media moeten mensen die zo denken VERBIEDEN. Argh . . . Het is verstandiger voor landen om voorzichtig te zijn met wie ze het land binnenlaten,unknown_user2,2,0,-1:00:00,intolerance_im,
13,"Dit is slecht voor elk land. Iedereen die dit wil, zou niet mogen stemmen. Grens- en toegangscontrole is een fundamentele taak van elke natiestaat.",unknown_user3,2,0,-1:00:00,intolerance_im,
14,VERLAAT DE DISCUSSIE als je hiertegen protesteert!,unknown_user4,2,0,-1:00:00,intolerance_im,
15,Waarom protesteren deze mensen in vredesnaam? Als we de grenzen gewoon openstellen is dat een grote WINST voor HEN en een groot VERLIES voor ONS. Immigranten profiteren van onze huisvesting en medische zorg en nemen ruimte in beslag terwijl wij er alleen maar onder lijden.,unknown_user0,4,0,-1:00:00,us_them_im,
16,Dit is slecht voor elk land. Deze immigranten willen onze tradities overnemen. Grens- en toegangscontrole is een fundamentele taak van elke natiestaat.,unknown_user1,4,0,-1:00:00,us_them_im,
17,Al die radicalen geloven in open grenzen. Wij zijn de verstandigen en weten dat we onze grenzen gesloten moeten houden. Immigranten veroorzaken enorme kosten die we ons niet kunnen veroorloven.,unknown_user2,4,0,-1:00:00,us_them_im,
18,Ongelooflijk. Het zal altijd wij tegen degenen zijn die in open grenzen geloven.,unknown_user3,4,0,-1:00:00,us_them_im,
19,Bah! Die ILLEGALE VREEMDELINGEN verpesten alles. We moeten ONZE TRADITIES beschermen,unknown_user4,4,0,-1:00:00,us_them_im,
20,Ongelooflijk. Het streven naar open grenzen is één grote samenzwering,unknown_user0,3,0,-1:00:00,misinformation_im,
21,Waarom protesteren mensen? De regering verbergt de werkelijke cijfers over werkloosheid en criminaliteit veroorzaakt door immigranten. Geloof die NEP-cijfers niet en wees voorzichtig met wie er het land binnenkomt. Dit is niet wat het lijkt.,unknown_user1,3,0,-1:00:00,misinformation_im,
22,"De immigratiecijfers waar de regering het over heeft, kloppen helemaal niet vanwege de open grenzen. Immigranten zorgen voor enorme kosten en we moeten de grenzen gesloten houden.",unknown_user2,3,0,-1:00:00,misinformation_im,
23,Absoluut ALLE statistieken tonen aan dat immigranten criminelen zijn.,unknown_user3,3,0,-1:00:00,misinformation_im,
24,Immigratiestatistieken zijn OPLICHTERIJ!!,unknown_user4,3,0,-1:00:00,misinformation_im,
25,IDIOTEN! Wat een grap,unknown_user0,6,0,-1:00:00,incivility_cli,
26,Dit is slecht voor elk land. Wat een gekken. Windturbines zijn lelijk en beschadigen het land door hun betonnen funderingen.,unknown_user1,6,0,-1:00:00,incivility_cli,
27,Ongelooflijk. Alleen losers geloven in dit stomme idee.,unknown_user2,6,0,-1:00:00,incivility_cli,
28,STOM,unknown_user3,6,0,-1:00:00,incivility_cli,
29,"Overstappen op hernieuwbare energie is VERDOMD belachelijk. Verdomme, klimaatverandering hoort nu eenmaal bij de natuurlijke cycli van de aarde! Overstappen op hernieuwbare energie zal onze economie alleen maar schaden.",unknown_user4,6,0,-1:00:00,incivility_cli,
30,Ongelooflijk. Ontzeg deze voorstanders het recht om te protesteren!,unknown_user0,7,0,-1:00:00,intolerance_cli,
31,Laten we mensen die dit steunen verbannen... Het idee van zonne- en windenergie voor grootschalige productie is niet haalbaar. Zonne-energie kost meer om te gebruiken dan dat er aan elektriciteit uitkomt. Ze zijn ook nutteloos voor elektriciteitstransport over lange afstanden.,unknown_user1,7,0,-1:00:00,intolerance_cli,
32,Waarom protesteren mensen? Sociale media moeten mensen die denken dat hernieuwbare energie de oplossing is VERBIEDEN. Argh... Het hele elektriciteitsnet van zonne- en windenergie voorzien is gewoon onbetrouwbaar,unknown_user2,7,0,-1:00:00,intolerance_cli,
33,"Hernieuwbare energiebronnen zijn slecht voor elk land. Iedereen die dit wil, zou niet mogen stemmen. Windturbines zijn lelijk en beschadigen het land door hun betonnen funderingen.",unknown_user3,7,0,-1:00:00,intolerance_cli,
34,VERLAAT DE DISCUSSIE als je hiertegen protesteert!,unknown_user4,7,0,-1:00:00,intolerance_cli,
35,Waarom protesteren deze mensen in vredesnaam? Als we gewoon overschakelen op hernieuwbare energie is dat een grote WINST voor HEN en een groot VERLIES voor ONS. Rijke milieuactivisten profiteren van het vernietigen van de schoonheid van ons land terwijl wij er alleen maar onder lijden.,unknown_user0,9,0,-1:00:00,us_them_cli,
36,Hernieuwbare energiebronnen zijn slecht voor elk land. Die milieuactivisten willen de schoonheid van ons land vernietigen. Windturbines zijn lelijk en beschadigen het land door hun betonnen funderingen.,unknown_user1,9,0,-1:00:00,us_them_cli,
37,Al die radicalen geloven in de overstap naar hernieuwbare energie. Wij zijn de verstandigen en weten dat het onze economie zal vernietigen. Klimaatverandering hoort sowieso bij de natuurlijke cycli van de aarde.,unknown_user2,9,0,-1:00:00,us_them_cli,
38,Ongelooflijk. Het zal altijd wij tegen degenen zijn die geloven in de overstap naar hernieuwbare energie.,unknown_user3,9,0,-1:00:00,us_them_cli,
39,Bah! Die LINKSEN verpesten alles. We moeten ONS LAND beschermen tegen wind- en zonne-energieprojecten,unknown_user4,9,0,-1:00:00,us_them_cli,
40,Ongelooflijk. De drang naar hernieuwbare energie is één grote samenzwering.,unknown_user0,8,0,-1:00:00,misinformation_cli,
41,Waarom protesteren mensen? De wetenschappelijke artikelen over de economische haalbaarheid van windenergie zijn volkomen misleidend. Lees die NEP-artikelen niet en wees voorzichtig met de overstap naar hernieuwbare energie. Dit is absoluut niet wat het lijkt.,unknown_user1,8,0,-1:00:00,misinformation_cli,
42,"De CO2-cijfers waar wetenschappers het over hebben, zijn VOLLEDIG verkeerd. Klimaatverandering is gewoon een onderdeel van de natuurlijke cycli van de aarde! Overstappen op hernieuwbare energie zal onze economie alleen maar schaden.",unknown_user2,8,0,-1:00:00,misinformation_cli,
43,Absoluut ALLE statistieken laten zien dat de CO2-uitstoot stijgt.,unknown_user3,8,0,-1:00:00,misinformation_cli,
44,Klimaatverandering is een ZWENDEL!!,unknown_user4,8,0,-1:00:00,misinformation_cli,
45,"Ik kwam net langs de plek waar dit gebeurde, het is er erg druk.",unknown_user0,5,0,-1:00:00,control_cli,
46,Hmmm interessant. Wanneer vindt dit protest plaats? Ik vind het erg leuk om deel te nemen aan protesten en zie ze als een goede manier om mijn burgerrechten uit te oefenen.,unknown_user1,5,0,-1:00:00,control_cli,
47,Ik probeer uit protesten weg te blijven. Je weet nooit wat er tijdens zo'n actie kan gebeuren.,unknown_user2,5,0,-1:00:00,control_cli,
48,Ik wil meer nieuwsberichten zoals dit,unknown_user3,5,0,-1:00:00,control_cli,
49,Ik denk dat dit gebeurt waar ik woon. Ik hoop dat iedereen veilig blijft en dat dit niet uit de hand loopt. Veel succes voor de demonstranten.,unknown_user4,5,0,-1:00:00,control_cli,
